,Strain_ID,name,value,Lawn,Spot,MediaTime,Media,Fe,Time,Dataset
50,Burkholderia_RCH25,Variovax_RPC5,0,Burkholderia_RCH25,Variovax_RPC5,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
275,Burkholderia_RCH25,Variovax_RPC5,0,Burkholderia_RCH25,Variovax_RPC5,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
624,Cellulosimicrobium_BM1,Bacillus_SCH24,-3,Cellulosimicrobium_BM1,Bacillus_SCH24,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
849,Cellulosimicrobium_BM1,Bacillus_SCH24,-3,Cellulosimicrobium_BM1,Bacillus_SCH24,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
174,Cellulosimicrobium_BM1,Bacillus_SCH24,-3,Cellulosimicrobium_BM1,Bacillus_SCH24,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
399,Cellulosimicrobium_BM1,Bacillus_SCH24,-2,Cellulosimicrobium_BM1,Bacillus_SCH24,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
617,Cellulosimicrobium_BM1,Burkholderia_RCH25,-2,Cellulosimicrobium_BM1,Burkholderia_RCH25,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
842,Cellulosimicrobium_BM1,Burkholderia_RCH25,-3,Cellulosimicrobium_BM1,Burkholderia_RCH25,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
169,Cellulosimicrobium_BM1,Burkholderia_RCH25,-5,Cellulosimicrobium_BM1,Burkholderia_RCH25,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
394,Cellulosimicrobium_BM1,Burkholderia_RCH25,-5,Cellulosimicrobium_BM1,Burkholderia_RCH25,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
627,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,-1,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
852,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
177,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
402,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
621,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,-1,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
846,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,-1,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
167,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,-1,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
392,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,-1,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
622,Cellulosimicrobium_BM1,Dyadobacter_BM9,-1,Cellulosimicrobium_BM1,Dyadobacter_BM9,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
847,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,Cellulosimicrobium_BM1,Dyadobacter_BM9,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
166,Cellulosimicrobium_BM1,Dyadobacter_BM9,-2,Cellulosimicrobium_BM1,Dyadobacter_BM9,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
391,Cellulosimicrobium_BM1,Dyadobacter_BM9,-3,Cellulosimicrobium_BM1,Dyadobacter_BM9,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
630,Cellulosimicrobium_BM1,Ensifer_sp,1,Cellulosimicrobium_BM1,Ensifer_sp,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
855,Cellulosimicrobium_BM1,Ensifer_sp,0,Cellulosimicrobium_BM1,Ensifer_sp,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
180,Cellulosimicrobium_BM1,Ensifer_sp,0,Cellulosimicrobium_BM1,Ensifer_sp,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
405,Cellulosimicrobium_BM1,Ensifer_sp,0,Cellulosimicrobium_BM1,Ensifer_sp,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
623,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
848,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
173,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
398,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
629,Cellulosimicrobium_BM1,Luteibacter_BM7,1,Cellulosimicrobium_BM1,Luteibacter_BM7,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
854,Cellulosimicrobium_BM1,Luteibacter_BM7,1,Cellulosimicrobium_BM1,Luteibacter_BM7,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
179,Cellulosimicrobium_BM1,Luteibacter_BM7,0,Cellulosimicrobium_BM1,Luteibacter_BM7,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
404,Cellulosimicrobium_BM1,Luteibacter_BM7,0,Cellulosimicrobium_BM1,Luteibacter_BM7,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
620,Cellulosimicrobium_BM1,Methylobacterium_RPE3,1,Cellulosimicrobium_BM1,Methylobacterium_RPE3,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
