,Strain_ID,name,value,Lawn,Spot,MediaTime,Media,Time,TrialFinal
90,Massilia_sp,Methylobacterium_RPE3,0,Massilia_sp,Methylobacterium_RPE3,R2A-96h,R2A,96h,Trial
86,Massilia_sp,Microbacterium_BM4,0,Massilia_sp,Microbacterium_BM4,R2A-96h,R2A,96h,Trial
76,Massilia_sp,Pseudomonas_putida_KT2442,-2,Massilia_sp,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Trial
79,Massilia_sp,Sphingobium_Z2,0,Massilia_sp,Sphingobium_Z2,R2A-96h,R2A,96h,Trial
77,Massilia_sp,Streptomyces_RCH20P,0,Massilia_sp,Streptomyces_RCH20P,R2A-96h,R2A,96h,Trial
80,Massilia_sp,Variovax_RPC5,0,Massilia_sp,Variovax_RPC5,R2A-96h,R2A,96h,Trial
219,Methylobacterium_RPE3,Bacillus_SCH24,-10,Methylobacterium_RPE3,Bacillus_SCH24,R2A-96h,R2A,96h,Trial
217,Methylobacterium_RPE3,Burkholderia_RCH25,0,Methylobacterium_RPE3,Burkholderia_RCH25,R2A-96h,R2A,96h,Trial
220,Methylobacterium_RPE3,Cellulosimicrobium_BM1,0,Methylobacterium_RPE3,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Trial
224,Methylobacterium_RPE3,Chryseobacterium_SCH11,0,Methylobacterium_RPE3,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Trial
223,Methylobacterium_RPE3,Dyadobacter_BM9,0,Methylobacterium_RPE3,Dyadobacter_BM9,R2A-96h,R2A,96h,Trial
213,Methylobacterium_RPE3,Ensifer_sp,0,Methylobacterium_RPE3,Ensifer_sp,R2A-96h,R2A,96h,Trial
218,Methylobacterium_RPE3,Exiguobacterium_RDH25,0,Methylobacterium_RPE3,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Trial
222,Methylobacterium_RPE3,Luteibacter_BM7,0,Methylobacterium_RPE3,Luteibacter_BM7,R2A-96h,R2A,96h,Trial
216,Methylobacterium_RPE3,Massilia_sp,0,Methylobacterium_RPE3,Massilia_sp,R2A-96h,R2A,96h,Trial
